Case Number,Casecode,Opened,Closed,Charges,Disposition
20-274,APCON,10/16/2020,1/12/2021,MISDO,Plea
20-280,APCON,10/20/2020,4/13/2021,MISDO,Plea
20-287,APCON,10/23/2020,11/2/2020,MISDO,Plea
20-289,APCON,10/23/2020,10/28/2020,MISDO,Other
20-290,APCON,10/26/2020,4/8/2024,MISDO,Plea
20-295,APCON,10/27/2020,10/20/2022,MISDO,Plea
20-298,CRI-DUI,11/2/2020,00/00/0000,MISDO,
20-304,APCON,11/3/2020,3/8/2021,MISDO,Plea
20-306,APCON,11/3/2020,00/00/0000,MISDO,
20-307,APCON,11/3/2020,3/15/2021,MISDO,Plea
20-309,APCON,11/6/2020,7/1/2021,MISDO,Plea
20-310,APCON,10/30/2020,8/31/2023,MISDO,Plea
20-312,APCON,11/13/2020,3/8/2021,MISDO,Plea
20-314,APCON,11/10/2020,3/10/2021,MISDO,Plea
20-315,APCON,11/13/2020,12/15/2020,MISDO,Plea
20-317,APCON,12/1/2020,5/21/2021,MISDO,Plea
20-319,APCON,12/2/2020,3/16/2021,MISDO,Plea
20-320,APCON,12/1/2020,11/8/2021,MISDO,Plea
20-324,APCON,12/4/2020,11/30/2021,MISDO,Plea
20-327,APCON,12/15/2020,6/28/2021,MISDO,Plea
20-330,APCON,12/15/2020,1/5/2021,MISDO,Plea
20-331,APCON,12/15/2020,00/00/0000,MISDO,
20-332,APCON,12/15/2020,12/13/2022,MISDO,Dismissal
20-333,APCON,12/15/2020,12/13/2022,MISDO,Dismissal
20-334,APCON,12/15/2020,12/13/2022,MISDO,Dismissal
20-339,APCON,12/29/2020,3/6/2023,MISDO,Other
21-003,APCON,1/5/2021,4/12/2022,MISDO,Other
21-011,APCON,1/12/2021,5/1/2023,MISDO,Plea
21-012,APCON,1/15/2021,4/13/2021,MISDO,Plea
21-015,APCON,1/28/2021,5/17/2021,MISDO,Plea
21-017,APCON,2/2/2021,00/00/0000,MISDO,
21-019,APCON,2/5/2021,10/9/2023,MISDO,Plea
21-020,APCON,2/5/2021,10/21/2021,MISDO,Plea
21-021,CRI,2/8/2021,00/00/0000,MISDO,
21-026,APCON,2/10/2021,4/20/2021,MISDO,Plea
21-029,CRI,2/16/2021,00/00/0000,MISDO,
21-039,APCON,2/23/2021,3/8/2021,MISDO,Plea
22-107,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
21-042,APCON,2/23/2021,5/4/2021,MISDO,Plea
21-048,APCON,3/5/2021,9/19/2022,MISDO,Other
21-049,APCON,3/9/2021,1/31/2022,MISDO,Plea
21-051,APCON,3/11/2021,11/1/2022,MISDO,Dismissal
21-055,APCON,3/16/2021,8/2/2021,MISDO,Plea
21-056,APCON,3/16/2021,3/16/2021,MISDO,Plea
21-058,APCON,3/16/2021,11/1/2022,MISDO,Dismissal
21-066,APCON,3/25/2021,6/6/2023,MISDO,Other
21-067,APCON,3/25/2021,6/6/2023,MISDO,Other
21-068,APCON,3/25/2021,6/6/2023,MISDO,Other
21-073,APCON,3/30/2021,2/1/2025,MISDO,Other
21-078,APCON,4/6/2021,10/4/2021,MISDO,Plea
21-082,APCON,4/9/2021,10/26/2022,MISDO,Dismissal
21-083,CRI,4/14/2021,00/00/0000,MISDO,
21-089,APCON,4/13/2021,1/26/2022,MISDO,Plea
17-330,CRI-DUI,11/14/2017,00/00/0000,MISDO,
18-109,CRI-DUI,4/16/2018,00/00/0000,MISDO,
21-092,APCON,4/20/2021,5/3/2021,MISDO,Plea
21-094,APCON,4/20/2021,6/8/2021,MISDO,Plea
21-099,APCON,4/23/2021,9/13/2021,MISDO,Plea
22-108,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
18-046-1,APCON,2/16/2018,00/00/0000,MISDO,Plea
18-046-2,APCON,2/16/2018,00/00/0000,MISDO,Plea
18-046-3,APCON,2/16/2018,00/00/0000,MISDO,Plea
18-046-4,APCON,4/26/2018,00/00/0000,MISDO,Plea
18-046-5,APCON,4/26/2018,00/00/0000,MISDO,Plea
21-112,APCON,4/6/2021,12/7/2021,MISDO,Plea
21-116,APCON,5/11/2021,7/10/2021,MISDO,Plea
21-117,APCON,5/11/2021,7/10/2021,MISDO,Plea
21-123,APCON,5/18/2021,6/26/2023,MISDO,Dismissal
21-124,APCON,5/18/2021,8/7/2024,MISDO,Other
21-125,APCON,5/18/2021,8/7/2024,MISDO,Other
21-129,APCON,5/28/2021,9/13/2021,MISDO,Plea
21-132,APCON,6/1/2021,12/14/2021,MISDO,Plea
21-133,APCON,6/10/2021,11/8/2021,MISDO,Dismissal
21-134,APCON,6/10/2021,2/2/2023,MISDO,Dismissal
21-135,APCON,6/10/2021,2/2/2023,MISDO,Dismissal
21-140,APCON,6/15/2021,11/19/2021,MISDO,Other
21-155,APCON,6/29/2021,9/8/2022,MISDO,Dismissal
21-158,CRI-DUI,7/1/2021,00/00/0000,MISDO,
21-166,APCON,7/13/2021,7/20/2022,MISDO,Dismissal
21-177,CRI,7/14/2021,00/00/0000,MISDO,
21-179,CRI-DUI,7/26/2021,00/00/0000,MISDO,
21-181,APCON,7/23/2021,8/2/2022,MISDO,Plea
21-182,APCON,7/23/2021,8/2/2022,MISDO,Dismissal
21-183,APCON,7/23/2021,8/2/2022,MISDO,Dismissal
21-188,APCON,7/29/2021,7/30/2021,MISDO,Other
21-189,APCON,7/29/2021,7/30/2021,MISDO,Other
21-192,CRI,8/3/2021,00/00/0000,MISDO,
21-197,APCON,8/3/2021,00/00/0000,MISDO,
21-198,APCON,8/3/2021,00/00/0000,MISDO,
21-199,APCON,8/3/2021,00/00/0000,MISDO,
21-206,APCON,8/3/2021,9/8/2023,MISDO,Other
21-207,APCON,8/3/2021,9/8/2023,MISDO,Other
21-212,APCON,8/25/2021,9/30/2021,MISDO,Dismissal
21-213,APCON,8/25/2021,9/30/2021,MISDO,Dismissal
21-214,APCON,8/25/2021,9/30/2021,MISDO,Dismissal
21-215,APCON,8/25/2021,9/30/2021,MISDO,Dismissal
21-216,APCON,8/25/2021,9/30/2021,MISDO,Dismissal
21-230,APCON,9/21/2021,10/12/2021,MISDO,Plea
21-236,APCON,9/28/2021,10/29/2021,MISDO,Dismissal
21-238,APCON,10/1/2021,9/19/2022,MISDO,Plea
21-247,APCON,10/12/2021,1/31/2022,MISDO,Plea
21-252,APCON,10/12/2021,10/12/2021,MISDO,Dismissal
21-253,APCON,10/12/2021,9/19/2022,MISDO,Dismissal
21-264,CRI-DUI,11/5/2021,00/00/0000,MISDO,
21-266,APCON,11/4/2021,5/5/2022,MISDO,Plea
21-271,APCON,11/12/2021,8/16/2022,MISDO,Other
21-272,APCON,11/12/2021,8/16/2022,MISDO,Other
21-277,APCON,11/18/2021,9/29/2022,MISDO,Plea
21-283,APCON,11/19/2021,4/4/2022,MISDO,Plea
21-284,APCON,11/19/2021,4/4/2022,MISDO,Plea
21-287,APCON,11/29/2021,6/30/2022,MISDO,Dismissal
21-293,CRI,12/6/2021,00/00/0000,MISDO,
21-296,APCON,12/7/2021,12/14/2021,MISDO,Dismissal
21-303,CRI-DUI,12/13/2021,00/00/0000,MISDO,
21-305,APCON,12/10/2021,6/30/2022,MISDO,Dismissal
21-306,CRI,12/9/2021,00/00/0000,MISDO,
21-312,APCON,12/7/2021,11/1/2022,MISDO,Dismissal
22-005,APCON,1/14/2022,9/12/2022,MISDO,Dismissal
22-009,APCON,1/25/2022,8/2/2022,MISDO,Plea
22-010,APCON,1/25/2022,3/8/2022,MISDO,Other
22-016,APCON,2/3/2022,7/25/2022,MISDO,Dismissed
22-017,APCON,2/1/2022,2/10/2022,MISDO,Plea
22-020,APCON,2/8/2022,3/8/2022,MISDO,Other
22-022,APCON,2/10/2022,2/15/2022,MISDO,Other
22-023,APCON,2/10/2022,2/15/2022,MISDO,Other
22-024,APCON,2/10/2022,2/15/2022,MISDO,Other
22-025,APCON,2/10/2022,2/15/2022,MISDO,Other
22-026,APCON,2/10/2022,2/15/2022,MISDO,Other
22-027,APCON,2/10/2022,2/15/2022,MISDO,Other
22-028,APCON,2/10/2022,2/15/2022,MISDO,Other
22-036,APCON,2/10/2022,2/15/2022,MISDO,Other
22-042,APCON,3/14/2022,4/4/2022,MISDO,Dismissal
22-043,APCON,3/14/2022,4/4/2022,MISDO,Plea
22-057,APCON,3/23/2022,8/15/2022,MISDO,Dismissal
22-058,APCON,3/23/2022,9/29/2022,MISDO,Dismissal
22-069,APCON,4/8/2022,10/5/2023,MISDO,Dismissal
22-074,APCON,4/14/2022,9/14/2022,MISDO,Dismissal
22-075,CRI-DUI,4/13/2022,00/00/0000,MISDO,
22-077,APCON,4/15/2022,8/15/2022,MISDO,Plea
22-086,APCON,4/22/2022,5/16/2022,MISDO,Plea
22-088,APCON,4/26/2022,10/12/2023,MISDO,Plea
22-100,CRI,5/9/2022,00/00/0000,MISDO,
22-102,APCON,5/6/2022,6/30/2022,MISDO,Plea
22-110,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
22-111,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
22-112,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
22-113,APCON,5/11/2022,8/11/2022,MISDO,Dismissal
22-115,APCON,5/16/2022,10/26/2022,MISDO,Dismissal
22-116,CRI-DUI,5/11/2022,00/00/0000,MISDO,
22-119,APCON,5/17/2022,7/18/2022,MISDO,Plea
22-120,APCON,5/17/2022,7/18/2022,MISDO,Dismissal
22-121,APCON,5/20/2022,9/8/2022,MISDO,Plea
22-122,APCON,5/20/2022,9/8/2022,MISDO,Dismissed
22-124,APCON,5/20/2022,9/8/2022,MISDO,Dismissal
22-128,APCON,5/26/2022,8/18/2022,MISDO,Plea
22-131,APCON,5/31/2022,3/13/2023,MISDO,Plea
22-132,APCON,5/31/2022,3/13/2023,MISDO,Plea
22-138,APCON,6/6/2022,2/2/2023,MISDO,Dismissal
22-140,APCON,2/15/2022,8/2/2022,MISDO,Dismissed
22-147,CRI,6/8/2022,00/00/0000,MISDO,
22-157,APCON,6/27/2022,7/5/2022,MISDO,Other
22-158,APCON,6/28/2022,12/13/2022,MISDO,Plea
22-167,APCON,6/2/2022,1/30/2023,MISDO,Dismissal
22-168,APCRPB,7/7/2022,9/15/2022,MISDO,Dismissal
22-176,APCON,7/19/2022,7/15/2024,MISDO,Dismissal
22-179,APCON,7/22/2022,2/2/2023,MISDO,Dismissal
22-184,APCON,7/27/2022,8/8/2022,MISDO,Plea
22-185,APCON,7/27/2022,8/8/2022,MISDO,Plea
22-192,APCON,7/1/2022,8/11/2022,MISDO,Dismissal
22-194,APCON,8/10/2022,9/14/2022,MISDO,Dismissal
22-199,CRI-DUI,8/22/2022,00/00/0000,MISDO,
22-203,APCON,8/12/2022,9/8/2022,MISDO,Dismissed
22-204,APCON,8/12/2022,9/8/2022,MISDO,Dismissed
22-208,APCON,8/16/2022,4/6/2023,MISDO,Plea
22-210,CRI,8/23/2022,00/00/0000,MISDO,
22-212,APCON,8/19/2022,10/12/2023,MISDO,Plea
22-213,APCON,8/19/2022,10/12/2023,MISDO,Plea
22-215,CRI,8/29/2022,00/00/0000,MISDO,
22-219,APCON,9/6/2022,6/1/2023,MISDO,Plea
22-220,APCON,9/6/2022,6/1/2023,MISDO,Plea
22-221,APCON,9/6/2022,6/1/2023,MISDO,Dismissal
22-222,APCON,9/6/2022,6/1/2023,MISDO,Plea
22-223,APCON,9/6/2022,6/1/2023,MISDO,Plea
22-224,APCON,9/6/2022,6/1/2023,MISDO,Plea
22-229,APCON,9/13/2022,5/5/2023,MISDO,Dismissal
22-230,APCON,9/13/2022,5/5/2023,MISDO,Dismissal
22-233,APCON,9/13/2022,11/10/2022,MISDO,Plea
22-234,APCON,9/13/2022,11/10/2022,MISDO,Plea
22-235,APCON,9/13/2022,11/10/2022,MISDO,Plea
22-239,APCON,9/16/2022,9/26/2022,MISDO,Dismissal
22-242,APCON,9/20/2022,6/9/2023,MISDO,Dismissal
22-246,APCON,10/10/2022,1/5/2023,MISDO,Plea
22-254,CRI-DUI,10/21/2022,00/00/0000,MISDO,
22-270,APCON,11/14/2022,1/23/2023,MISDO,Dismissal
22-273,CRI-DUI,11/14/2022,00/00/0000,MISDO,
22-278,APCON,11/28/2022,1/26/2023,MISDO,Dismissal
22-279,APCON,11/28/2022,1/26/2023,MISDO,Dismissal
22-284,CRI-DUI,11/30/2022,00/00/0000,MISDO,
22-286,CRI,12/14/2022,00/00/0000,MISDO,
22-292,APCON,12/14/2022,3/1/2023,MISDO,Dismissal
22-293,APCON,12/14/2022,3/1/2023,MISDO,Plea
22-297,CRI-DUI,12/20/2022,00/00/0000,MISDO,
23-005,APCON,1/6/2023,2/16/2023,MISDO,Dismissal
23-006,APCON,1/6/2023,2/16/2023,MISDO,Dismissal
23-007,APCON,1/6/2023,2/16/2023,MISDO,Dismissal
23-009,APCON,1/10/2023,9/11/2023,MISDO,Dismissal
18-013-1,APCON,1/8/2018,00/00/0000,MISDO,
18-013-2,APCON,1/8/2018,7/13/2018,MISDO,Dismissal
18-013-3,APCON,1/8/2018,7/13/2018,MISDO,Plea
22-307,APCON,11/9/2022,11/9/2022,MISDO,Other
23-031,APCON,2/6/2023,4/10/2023,MISDO,Dismissal
23-032,APCON,2/6/2023,4/10/2023,MISDO,Plea
23-041,APCON,2/21/2023,8/1/2023,MISDO,Dismissal
23-042,APCON,2/21/2023,8/1/2023,MISDO,Dismissal
23-045,APCON,2/28/2023,6/22/2023,MISDO,Dismissal
23-048,APCON,3/3/2023,3/23/2023,MISDO,Dismissal
23-049,APCON,3/3/2023,3/23/2023,MISDO,Dismissal
23-053,APCON,3/6/2023,3/8/2023,MISDO,Other
23-055,APCON,3/6/2023,3/8/2023,MISDO,Other
23-056,APCON,3/6/2023,3/8/2023,MISDO,Other
23-057,APCON,3/6/2023,3/8/2023,MISDO,Other
23-059,APCON,3/7/2023,5/4/2023,MISDO,Other
23-061,APCON,3/7/2023,6/12/2023,MISDO,Dismissal
23-062,APCON,3/7/2023,00/00/0000,MISDO,
23-064,APCON,3/8/2023,3/10/2023,MISDO,Plea
23-065,APCON,3/9/2023,9/18/2023,MISDO,Dismissal
23-066,APCON,3/9/2023,3/10/2023,MISDO,Plea
23-072,APCON,3/14/2023,4/5/2023,MISDO,Dismissal
23-074,APCON,3/15/2023,4/20/2023,MISDO,Plea
23-075,APCON,3/15/2023,4/20/2023,MISDO,Plea
23-076,APCON,3/15/2023,4/20/2023,MISDO,Plea
23-077,APCON,3/15/2023,4/20/2023,MISDO,Dismissal
23-078,APCON,3/15/2023,4/20/2023,MISDO,Plea
23-079,APCON,3/15/2023,10/12/2023,MISDO,Plea
23-085,APCON,3/23/2023,10/12/2023,MISDO,Plea
23-089,APCON,4/5/2023,4/12/2023,MISDO,Plea
23-091,APCON,4/6/2023,4/12/2023,MISDO,Dismissal
23-097,APCON,4/17/2023,5/2/2023,MISDO,Dismissal
23-098,APCON,4/17/2023,5/2/2023,MISDO,Dismissal
23-099,APCON,4/17/2023,5/2/2023,MISDO,Dismissal
23-100,APCON,4/17/2023,5/2/2023,MISDO,Dismissal
23-101,APCON,4/17/2023,5/2/2023,MISDO,Dismissal
23-106,APCON,4/24/2023,10/9/2023,MISDO,Dismissal
23-111,APCON,5/2/2023,6/12/2023,MISDO,Plea
23-122,CRI-DUI,5/22/2023,00/00/0000,MISDO,
23-126,APCON,5/30/2023,12/4/2023,MISDO,Dismissal
23-131,CRI,6/2/2023,00/00/0000,MISDO,
23-139,APCON,6/7/2023,9/18/2023,MISDO,Other
23-152,APCON,7/5/2023,7/18/2023,MISDO,Plea
22-310,APCON,11/4/2022,7/18/2023,MISDO,Dismissal
22-311,APCON,11/4/2022,7/18/2023,MISDO,Dismissal
22-309,APCON,11/4/2022,7/18/2023,MISDO,Dismissal
23-161,APCON,5/16/2023,00/00/0000,MISDO,
23-166,APCON,7/17/2023,6/21/2024,MISDO,Dismissal
23-174,APCON,7/31/2023,8/14/2023,MISDO,Plea
23-175,APCON,7/31/2023,8/14/2023,MISDO,Plea
23-181,CRI,7/27/2023,00/00/0000,MISDO,
23-186,APCON,8/16/2023,4/15/2024,MISDO,Dismissal
23-187,APCON,8/16/2023,4/15/2024,MISDO,Dismissal
23-196,APCON,8/24/2023,10/12/2023,MISDO,Plea
23-201,APCON,8/29/2023,1/29/2024,MISDO,Dismissal
23-202,APCON,8/29/2023,1/29/2024,MISDO,Dismissal
23-223,CRI-DUI,9/20/2023,00/00/0000,MISDO,
23-224,APCON,9/20/2023,2/22/2024,MISDO,Dismissal
23-225,CRI-DUI,9/14/2023,00/00/0000,MISDO,
23-235,APCON,10/6/2023,1/31/2024,MISDO,Plea
23-236,APCON,10/6/2023,1/31/2024,MISDO,Plea
23-238,APCON,10/6/2023,10/9/2023,MISDO,Other
23-239,APCON,10/6/2023,10/9/2023,MISDO,Other
23-240,APCON,10/6/2023,10/9/2023,MISDO,Other
23-241,APCON,10/6/2023,10/9/2023,MISDO,Other
23-242,APCON,10/6/2023,10/9/2023,MISDO,Other
23-265,CRI-DUI,10/19/2023,00/00/0000,MISDO,
23-271,CRI,10/26/2023,00/00/0000,MISDO,
23-282,APCON,11/7/2023,00/00/0000,MISDO,
23-286,CRI,11/9/2023,00/00/0000,MISDO,
23-291,APCON,11/17/2023,00/00/0000,MISDO,
23-295,CRI-DUI,11/28/2023,00/00/0000,MISDO,
23-300,APCON,12/1/2023,12/7/2023,MISDO,Plea
23-301,APCON,12/1/2023,2/1/2024,MISDO,Plea
23-305,APCON,12/11/2023,6/17/2024,MISDO,Plea
24-009,APCON,1/17/2024,2/22/2024,MISDO,Dismissal
24-015,APCON,1/30/2024,8/19/2024,MISDO,Dismissal
24-016,CRI,1/31/2024,00/00/0000,MISDO,
24-019,CRI,1/31/2024,00/00/0000,MISDO,
24-036,APCON,2/13/2024,9/17/2024,MISDO,Plea
24-044,APCON,2/26/2024,3/11/2024,MISDO,Plea
24-052,APCON,3/6/2024,9/5/2024,MISDO,Plea
24-058,APCON,3/15/2024,3/3/2025,MISDO,Plea
24-060,APCON,3/19/2024,4/16/2024,MISDO,Plea
24-071,APCON,4/16/2024,00/00/0000,MISDO,
24-075,APCON,4/24/2024,5/30/2024,MISDO,Dismissal
24-076,APCON,4/24/2024,5/30/2024,MISDO,Dismissal
24-079,APCON,4/9/2024,00/00/0000,MISDO,
24-080,APCON,4/29/2024,9/17/2024,MISDO,Dismissal
24-087,APCON,5/9/2024,5/16/2024,MISDO,Dismissal
24-099,APCON,5/15/2024,7/11/2024,MISDO,Dismissal
24-102,APCON,5/17/2024,6/10/2024,MISDO,Plea
24-108,APCON,5/22/2024,7/17/2024,MISDO,Dismissal
24-110,APCON,5/24/2024,6/10/2024,MISDO,Plea
24-113,APCON,5/29/2024,10/14/2024,MISDO,Dismissal
24-128,APCON,6/13/2024,8/5/2024,MISDO,Plea
24-134,APCON,6/20/2024,2/3/2025,MISDO,Plea
24-136,APCON,6/21/2024,9/16/2024,MISDO,Plea
24-148,APCON,5/17/2024,5/24/2024,MISDO,Plea
24-163,APCON,7/22/2024,11/20/2024,MISDO,Dismissal
24-164,CRI-DUI,7/22/2024,00/00/0000,MISDO,
24-168,APCON,7/23/2024,00/00/0000,MISDO,
24-169,APCON,7/23/2024,00/00/0000,MISDO,
24-170,CRI-DUI,7/17/2024,00/00/0000,MISDO,
24-171,CRI-DUI,7/24/2024,00/00/0000,MISDO,
24-255,APCON,12/10/2024,00/00/0000,MISDO,
24-256,APCON,12/10/2024,3/12/2025,MISDO,Other
24-257,APCON,12/10/2024,3/12/2025,MISDO,Other
24-258,APCON,12/10/2024,3/12/2025,MISDO,Other
24-182,APCON,8/2/2024,9/12/2024,MISDO,Plea
24-184,APCON,8/5/2024,11/20/2024,MISDO,Plea
24-185,APCON,8/6/2024,11/20/2024,MISDO,Plea
24-186,APCON,8/7/2024,11/1/2024,MISDO,Plea
24-198,CRI-DUI,9/4/2024,00/00/0000,MISDO,
24-207,APCON,9/23/2024,3/3/2025,MISDO,Plea
24-215,APCON,10/2/2024,11/14/2024,MISDO,Dismissal
24-218,APCON,10/9/2024,1/16/2025,MISDO,Plea
24-219,APCON,9/10/2024,1/24/2025,MISDO,Dismissal
24-220,CRI-DUI,10/1/2024,00/00/0000,MISDO,
24-232,APCON,11/7/2024,00/00/0000,MISDO,
24-234,CRI-DUI,11/8/2024,00/00/0000,MISDO,
24-236,APCON,11/12/2024,00/00/0000,MISDO,
24-237,APCON,10/29/2024,00/00/0000,MISDO,
24-250,APCON,12/6/2024,00/00/0000,MISDO,
24-259,APCON,12/11/2024,3/12/2025,MISDO,Other
24-260,APCON,12/11/2024,3/12/2025,MISDO,Other
24-263,APCON,12/13/2024,12/30/2024,MISDO,Plea
24-265,APCON,12/16/2024,3/3/2025,MISDO,Other
24-266,APCON,8/16/2024,3/3/2025,MISDO,Other
24-267,APCON,8/16/2024,3/3/2025,MISDO,Other
24-268,APCON,8/16/2024,3/3/2025,MISDO,Other
24-269,APCON,8/16/2024,3/3/2025,MISDO,Other
24-270,APCON,12/17/2024,3/12/2025,MISDO,Other
24-272,APCON,12/23/2024,2/20/2025,MISDO,Dismissal
24-273,APCON,12/23/2024,2/20/2025,MISDO,Plea
24-274,APCON,12/23/2024,2/20/2025,MISDO,Plea
24-276,APCON,12/23/2024,1/13/2025,MISDO,Plea
24-280,CRI,12/30/2024,00/00/0000,MISDO,
24-281,CRI-DUI,12/31/2024,00/00/0000,MISDO,
25-005,APCON,1/8/2025,00/00/0000,MISDO,
25-007,CRI,1/7/2025,00/00/0000,MISDO,
25-015,CRI-DUI,1/14/2025,00/00/0000,MISDO,
25-016,APCON,1/15/2025,1/24/2025,MISDO,Plea
24-283,APCON,11/8/2024,00/00/0000,MISDO,
24-284,APCON,12/31/2024,00/00/0000,MISDO,
25-017,APCON,1/15/2025,00/00/0000,MISDO,
25-030,APCON,2/20/2025,00/00/0000,MISDO,
25-032,CRI-DUI,2/24/2025,00/00/0000,MISDO,
18-007,APCVSM,1/5/2018,00/00/0000,OTHER,
18-025,APCON,2/1/2018,5/1/2019,OTHER,Plea
19-029,APCON,1/29/2019,1/31/2020,OTHER,Other
19-076,APCON,3/13/2019,5/8/2019,OTHER,Other
18-232,APJVSQ,10/1/2018,11/12/2019,OTHER,OTHER
19-099,APCON,4/5/2019,12/1/2019,OTHER,Other
19-100,APCON,4/5/2019,12/1/2019,OTHER,Other
19-115,APCON,4/19/2019,6/5/2019,OTHER,Other
19-122,APCON,4/19/2019,6/5/2019,OTHER,other
19-121,APCON,5/8/2019,5/10/2019,OTHER,Other
19-129,APCON,4/11/2019,5/8/2019,OTHER,Other
18-145,APCON,6/8/2018,00/00/0000,OTHER,Other
18-068,APCON,3/13/2018,00/00/0000,OTHER,Other
18-078,APCON,3/19/2018,00/00/0000,OTHER,Dismissed
18-090,APCON,3/20/2018,00/00/0000,OTHER,Dismissed
18-122,APCVDM,5/2/2018,4/2/2021,OTHER,Other
18-002-4,APCON,6/4/2018,00/00/0000,OTHER,Other
20-203,APCON,8/7/2020,10/16/2020,OTHER,Other
22-145,APCON,6/15/2022,8/1/2024,OTHER,Other
19-269,APJVSQ,8/20/2019,6/30/2020,OTHER,TRANSFERED
19-301,APJVSQ,9/20/2019,2/10/2020,OTHER,OTHER
19-318,APJVSQ,10/7/2019,11/8/2019,OTHER,OTHER
19-322,APJVSQ,9/27/2019,1/28/2022,OTHER,OTHER
19-323,APJVSQ,9/27/2019,5/7/2021,OTHER,OTHER
19-365,APJVSQ,11/15/2019,12/31/2019,OTHER,OTHER
19-387,APJVSQ,12/6/2019,00/00/0000,OTHER,OTHER
19-395,APCON,1/1/2020,1/10/2020,OTHER,Other
20-021,APJVSQ,1/24/2020,3/29/2024,OTHER,OTHER
20-027,APJVSQ,1/28/2020,2/26/2021,OTHER,OTHER
20-072,APCON,2/26/2020,2/28/2020,OTHER,Other
20-073,APCVDM,2/28/2020,8/12/2022,OTHER,OTHER
20-079,APCVDM,3/6/2020,6/1/2020,OTHER,Other
20-088,APCON,3/10/2020,7/8/2020,OTHER,Other
20-099,APCVSM,3/24/2020,00/00/0000,OTHER,
20-116,APCVDM,5/1/2020,10/30/2020,OTHER,Other
20-122,GUARD,5/22/2020,00/00/0000,OTHER,
20-143,APCON,6/18/2020,7/17/2020,OTHER,Other
20-169,APJVSQ,7/13/2020,2/1/2025,OTHER,PLEA
20-181,APCON,7/21/2020,8/21/2020,OTHER,Other
20-183,APJVSQ,7/17/2020,4/14/2023,OTHER,OTHER
20-206,APJVSQ,8/12/2020,10/24/2022,OTHER,
20-207,ADOPT,7/31/2020,00/00/0000,OTHER,
20-208,ADOPT,7/1/2020,00/00/0000,OTHER,
20-210,CRI,8/6/2020,00/00/0000,OTHER,
20-242,CRI-DUI,9/23/2020,00/00/0000,OTHER,
20-251,APCVDM,10/2/2020,7/1/2023,OTHER,Other
20-300,APCON,10/30/2020,2/1/2025,OTHER,Other
21-001,CUSTODY,1/1/2021,00/00/0000,OTHER,
21-004,CRI-DUI,1/6/2021,00/00/0000,OTHER,
21-040,APJVSQ,2/22/2021,8/7/2023,OTHER,OTHER
21-047,APCON,3/5/2021,7/8/2022,OTHER,Dismissal
21-052,APJVSQ,3/12/2021,10/1/2022,OTHER,OTHER
21-069,TRU,3/26/2021,00/00/0000,OTHER,
21-076,APJVSQ,4/5/2021,4/20/2021,OTHER,OTHER
21-077,CUSTODY,4/7/2021,5/5/2021,OTHER,
21-086,APJVSQ,4/12/2021,00/00/0000,OTHER,
21-087,APJVSQ,4/12/2021,2/14/2022,OTHER,OTHER
21-095,CUSTODY,4/21/2021,00/00/0000,OTHER,
21-101,APJVSQ,4/23/2021,7/19/2021,OTHER,OTHER
21-111,APCON,5/7/2021,6/4/2021,OTHER,Dismissal
21-136,CUSTODY,6/17/2021,00/00/0000,OTHER,
21-146,CUSTODY,6/18/2021,00/00/0000,OTHER,
22-146,APCRPB,6/15/2022,00/00/0000,OTHER,
21-173,APJVSQ,7/19/2021,2/1/2025,OTHER,OTHER
21-204,APJVSQ,8/19/2021,6/20/2022,OTHER,OTHER
21-243,APJVSQ,10/4/2021,6/20/2022,OTHER,OTHER
21-278,TRU,11/19/2021,00/00/0000,OTHER,
21-279,CUSTODY,11/19/2021,00/00/0000,OTHER,
21-300,APJVSQ,12/10/2021,5/16/2023,OTHER,OTHER
21-308,APCVSM,12/10/2021,4/19/2024,OTHER,Dismissal
21-316,APCRPB,12/23/2021,1/13/2022,OTHER,Other
21-318,APJVSQ,12/22/2021,3/10/2023,OTHER,OTHER
22-011,APCVDM,1/21/2022,4/6/2022,OTHER,Other
22-044,APJVSQ,3/14/2022,4/17/2023,OTHER,OTHER
22-048,APJVSQ,3/16/2022,3/1/2024,OTHER,OTHER
22-127,GEN,5/2/2022,6/1/2022,OTHER,Other
22-136,DIVORCE,4/29/2022,00/00/0000,OTHER,
22-152,GUARD,6/9/2022,00/00/0000,OTHER,
22-161,APJVSQ,4/12/2021,00/00/0000,OTHER,
22-173,APCRPB,7/14/2022,12/1/2022,OTHER,Plea
22-187,DIVORCE,8/4/2022,00/00/0000,OTHER,
22-188,APCRPB,8/4/2022,9/29/2022,OTHER,Plea
22-206,GUARD,6/16/2022,00/00/0000,OTHER,
22-217,GUARD,8/31/2022,00/00/0000,OTHER,
22-228,APCON,9/12/2022,5/18/2023,OTHER,Other
22-232,GUARD,9/15/2022,00/00/0000,OTHER,
22-250,APCON,10/14/2022,12/15/2022,OTHER,Other
23-003,APCVSM,1/6/2023,2/6/2023,OTHER,Other
23-002,APCON,1/10/2023,3/30/2023,OTHER,Other
23-016,DIVORCE,1/17/2023,00/00/0000,OTHER,
23-018,DIVORCE,1/25/2023,2/27/2023,OTHER,Other
